ID,Calories Burn,Heart Rate,Age,Gender
1,286.9598505,170,45,Male
2,343.4530361,142,25,Male
3,261.2234649,148,20,Male
4,127.1838584,170,33,Male
5,416.3183735,118,29,Female
6,479.7226901,169,60,Female
7,457.6313614,103,18,Male
8,272.9569819,104,42,Male
9,195.0322726,161,49,Male
10,259.5311447,103,41,Male
11,248.5361176,151,41,Male
12,376.5526493,158,35,Female
13,311.1060239,173,54,Female
14,497.549588,121,41,Male
15,451.8532602,174,19,Male
16,325.056217,105,54,Male
17,216.8663933,119,38,Female
18,377.1229305,126,42,Male
19,457.6203214,129,40,Female
20,103.3354905,149,49,Male
21,335.1512709,114,38,Male
22,131.4575318,135,29,Male
23,187.2145211,117,54,Female
24,129.0192376,145,30,Male
25,293.464795,135,45,Female
26,344.1352887,159,24,Male
27,297.6813903,133,56,Male
28,126.4961165,118,54,Male
29,279.7251573,164,21,Male
30,214.2193561,155,55,Female
31,115.3368677,154,47,Male
32,444.6904555,168,24,Male
33,261.0427782,111,57,Female
34,343.2067297,170,30,Female
35,483.4970362,121,52,Female
36,364.4688538,103,20,Male
37,353.2051257,155,37,Male
38,182.3335938,106,47,Female
39,316.0366931,157,28,Female
40,280.5911131,150,57,Female
41,240.9247871,162,41,Female
42,455.6056505,153,19,Male
43,119.4725546,168,32,Female
44,121.0886855,159,55,Male
45,207.9759501,177,39,Female
46,355.6478253,126,32,Female
47,176.4886037,151,58,Male
48,453.4353571,158,40,Male
49,120.0669036,174,48,Female
50,379.3709879,137,36,Male
51,244.9790358,129,35,Male
52,447.7851241,124,28,Male
53,117.819875,146,37,Male
54,217.7570965,136,25,Female
55,371.1216261,146,51,Male
56,441.770923,108,28,Female
57,277.7292176,103,27,Female
58,168.6552217,136,52,Male
59,126.6017619,112,49,Female
60,283.2182582,101,48,Male
61,301.4196335,119,40,Male
62,318.4410057,164,47,Female
63,141.0364555,156,40,Female
64,170.5211824,174,26,Male
65,151.3656289,121,60,Female
66,365.6369757,151,20,Male
67,127.9066818,172,52,Male
68,111.4136934,147,50,Male
69,455.756085,118,36,Male
70,324.9529154,171,40,Female
71,224.7566667,139,51,Male
72,251.9707701,107,19,Female
73,346.4365542,127,32,Female
74,233.3392462,153,58,Male
75,222.7406397,166,25,Male
76,254.9823965,128,60,Male
77,387.9547256,118,42,Female
78,129.4225026,176,59,Female
79,211.9936538,125,52,Female
80,187.1540026,146,43,Female
81,362.8855991,145,52,Male
82,145.4125641,110,27,Male
83,305.3738804,103,56,Female
84,472.5085347,143,33,Female
85,364.7305563,176,57,Male
86,218.439501,156,25,Female
87,120.509324,110,55,Male
88,194.3341766,121,18,Female
89,169.705561,152,40,Male
90,178.0728415,108,43,Female
91,299.8187299,137,28,Male
92,443.5856836,139,57,Male
93,271.0956442,180,36,Female
94,413.8854243,109,35,Male
95,176.433223,166,35,Male
96,147.1726527,115,40,Female
97,408.4146909,154,34,Female
98,168.0208161,107,57,Female
99,267.576432,163,41,Male
100,366.0372045,115,37,Male
101,309.7996685,128,42,Male
102,377.2902571,166,27,Male
103,306.2712633,152,53,Female
104,234.0254065,106,56,Female
105,329.4466802,108,38,Male
106,442.5630513,176,22,Male
107,399.4897422,151,28,Male
