id,exercise,duration,calories_burnt,exercise_intensity
1,Exercise 2,37,286.9598505,5
2,Exercise 7,43,343.4530361,5
3,Exercise 4,20,261.2234649,4
4,Exercise 5,39,127.1838584,10
5,Exercise 10,34,416.3183735,3
6,Exercise 1,41,479.7226901,10
7,Exercise 9,53,457.6313614,10
8,Exercise 4,25,272.9569819,2
9,Exercise 10,37,195.0322726,1
10,Exercise 8,55,259.5311447,10
11,Exercise 5,52,248.5361176,3
12,Exercise 1,28,376.5526493,6
13,Exercise 1,48,311.1060239,4
14,Exercise 8,43,497.549588,1
15,Exercise 10,59,451.8532602,4
16,Exercise 7,42,325.056217,9
17,Exercise 2,46,216.8663933,7
18,Exercise 10,26,377.1229305,9
19,Exercise 1,23,457.6203214,2
20,Exercise 9,59,103.3354905,8
21,Exercise 7,55,335.1512709,7
22,Exercise 9,37,131.4575318,2
23,Exercise 1,26,187.2145211,3
24,Exercise 7,26,129.0192376,9
25,Exercise 1,36,293.464795,7
26,Exercise 10,57,344.1352887,2
27,Exercise 9,39,297.6813903,1
28,Exercise 10,33,126.4961165,6
29,Exercise 8,21,279.7251573,10
30,Exercise 6,48,214.2193561,1
31,Exercise 4,26,115.3368677,7
32,Exercise 5,37,444.6904555,2
33,Exercise 1,47,261.0427782,8
34,Exercise 1,31,343.2067297,4
35,Exercise 8,49,483.4970362,9
36,Exercise 8,43,364.4688538,7
37,Exercise 9,51,353.2051257,10
38,Exercise 7,25,182.3335938,5
39,Exercise 8,31,316.0366931,1
40,Exercise 3,27,280.5911131,4
41,Exercise 3,53,240.9247871,5
42,Exercise 4,60,455.6056505,1
43,Exercise 1,37,119.4725546,9
44,Exercise 9,36,121.0886855,7
45,Exercise 9,59,207.9759501,2
46,Exercise 2,28,355.6478253,2
47,Exercise 10,36,176.4886037,7
48,Exercise 7,52,453.4353571,6
49,Exercise 6,34,120.0669036,2
50,Exercise 3,54,379.3709879,2
51,Exercise 2,21,244.9790358,7
52,Exercise 10,39,447.7851241,3
53,Exercise 9,32,117.819875,3
54,Exercise 1,50,217.7570965,7
55,Exercise 6,52,371.1216261,3
56,Exercise 9,20,441.770923,1
57,Exercise 5,53,277.7292176,5
58,Exercise 9,38,168.6552217,8
59,Exercise 8,26,126.6017619,1
60,Exercise 2,21,283.2182582,8
61,Exercise 9,48,301.4196335,6
62,Exercise 7,21,318.4410057,4
63,Exercise 6,25,141.0364555,10
64,Exercise 1,39,170.5211824,2
65,Exercise 8,35,151.3656289,7
66,Exercise 9,30,365.6369757,4
67,Exercise 3,52,127.9066818,2
68,Exercise 1,23,111.4136934,4
69,Exercise 6,40,455.756085,1
70,Exercise 4,41,324.9529154,10
71,Exercise 9,26,224.7566667,7
72,Exercise 4,34,251.9707701,2
73,Exercise 9,49,346.4365542,8
74,Exercise 3,30,233.3392462,6
75,Exercise 6,53,222.7406397,4
76,Exercise 8,27,254.9823965,2
77,Exercise 10,34,387.9547256,4
78,Exercise 1,51,129.4225026,9
79,Exercise 10,36,211.9936538,3
80,Exercise 6,28,187.1540026,2
81,Exercise 4,44,362.8855991,9
82,Exercise 1,42,145.4125641,10
83,Exercise 1,46,305.3738804,2
84,Exercise 4,45,472.5085347,10
